Response,Type,Answer
Dicamba + POST (other than glyphosate) + soil-residual,% Respondents,2
Dicamba + POST (other than glyphosate),% Respondents,3
Dicamba + glyphosate + POST (other than glyphosate),% Respondents,8
Dicamba alone,% Respondents,11
Dicamba + glyphosate + POST (other than glyphosate) + soil-residual,% Respondents,11
Dicamba + glyphosate + soil-residual,% Respondents,17
Dicamba + glyphosate,% Respondents,48
Dicamba alone,% ha,14
Dicamba + glyphosate,% ha,44
Dicamba + POST (other than glyphosate),% ha,1
Dicamba + glyphosate + POST (other than glyphosate),% ha,8
Dicamba + glyphosate + soil-residual,% ha,18
Dicamba + POST (other than glyphosate) + soil-residual,% ha,3
Dicamba + glyphosate + POST (other than glyphosate) + soil-residual,% ha,12
